"","V161086","V161087","V161092","V161093","V161095","V161096","V161158x","V161267","V161270","V161310b","V161310c","V161310d","V161310e","V161310f","V161342","V161361x","V162031x","V162034a","V162078","V162079","V162171","V162239","V162240","V162241","V162242","V162333","V162334","V162335","V162336","V162337","V162338","V162339","V162340","V162341","V162342"
"1",0,85,0,15,0,70,7,29,9,0,0,0,0,0,1,13,1,2,15,85,6,2,2,1,1,6,5,6,5,6,5,5,2,6,3
"2",0,85,30,50,15,85,6,26,13,0,0,0,0,0,1,17,1,2,50,60,5,1,2,2,1,6,5,5,5,6,6,5,5,4,1
"3",50,60,30,50,50,50,3,23,9,0,0,0,0,0,1,6,-1,-1,50,70,99,1,2,2,2,6,4,7,5,5,2,2,4,5,4
"4",0,60,15,50,30,70,5,58,9,0,0,0,0,0,1,20,1,-1,15,60,6,2,1,2,1,6,2,6,2,4,4,6,2,6,4
"5",15,0,40,70,70,40,3,38,9,0,0,0,0,0,2,3,1,4,30,15,4,2,2,1,2,5,3,7,3,5,7,6,3,6,2
"6",0,50,0,40,15,30,5,60,14,0,0,0,0,1,1,1,1,2,0,65,7,3,3,3,3,5,5,7,2,4,6,4,3,6,6
"7",85,0,100,85,85,15,1,58,5,1,0,0,0,0,1,22,1,1,85,50,99,2,2,1,1,5,5,7,6,7,1,7,1,6,4
"8",15,85,0,15,0,40,4,56,9,0,0,0,0,0,2,28,1,2,15,85,4,2,2,2,2,6,2,6,1,6,3,7,2,7,2
"9",15,60,0,0,15,60,5,45,9,0,1,0,0,0,1,12,-1,-1,0,70,5,2,2,2,1,7,3,6,3,5,1,6,2,6,3
"10",60,50,70,50,50,50,3,30,10,0,0,0,0,0,2,19,1,3,50,60,2,2,1,2,1,5,3,6,4,5,5,6,6,3,3
"11",0,50,0,30,0,60,5,40,7,0,0,0,0,0,2,11,-1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"12",85,0,100,50,85,30,3,86,10,0,0,0,0,0,2,14,-1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"13",40,30,60,60,40,70,5,30,13,1,0,0,0,0,1,24,1,3,40,40,5,1,2,1,1,6,3,5,3,6,6,6,2,6,3
"14",0,85,0,0,15,50,2,67,12,0,0,0,0,0,1,14,1,2,0,100,6,2,2,2,1,6,6,7,7,5,4,5,3,4,2
"15",85,0,85,60,85,30,1,62,14,0,0,0,0,0,2,10,1,1,70,15,3,1,1,2,1,7,2,5,5,6,1,7,4,6,1
"16",50,60,70,40,60,50,1,51,9,0,0,0,0,0,1,3,-1,-1,0,70,99,2,2,1,1,1,1,5,2,1,6,5,2,6,2
"17",85,0,85,85,70,15,1,46,14,0,0,0,0,0,1,27,1,1,85,15,2,1,1,2,1,2,5,7,6,6,7,5,2,7,5
"18",40,100,40,40,30,70,7,70,13,0,0,0,0,0,1,16,1,2,40,100,6,2,2,1,2,6,5,7,5,7,6,6,3,6,4
"19",85,0,85,70,70,15,1,30,14,0,0,0,0,0,2,26,1,1,85,0,3,1,1,2,1,5,3,5,2,7,6,7,2,6,4
"20",15,15,60,30,40,60,6,67,10,0,0,0,0,0,2,22,1,-1,30,40,6,2,2,1,2,6,1,7,4,7,2,7,2,7,3
"21",0,85,0,0,15,70,6,66,9,0,0,0,0,0,2,20,1,-1,0,70,5,2,2,1,1,4,3,6,4,4,5,7,1,6,5
"22",10,90,20,60,40,80,6,32,12,0,0,0,0,0,2,3,1,2,5,95,3,1,2,2,1,6,5,6,4,6,2,6,2,6,4
"23",60,0,70,50,50,15,5,56,10,0,0,0,0,0,2,-9,1,1,60,0,99,2,2,2,1,6,4,7,5,5,2,6,5,5,4
"24",30,60,40,15,40,60,5,65,14,0,0,0,0,0,2,15,1,2,15,60,6,2,2,2,1,5,2,6,3,5,6,6,2,6,4
